locality,bhk,area_sqft,price_lakhs
Ambernath,1,700,28
Ambernath,1,680,26
Ambernath,1,874,51
Ambernath,1,660,24
Ambernath,1,436,16
Ambernath,1,640,26
Ambernath,1,560,22
Ambernath,1,639,30
Ambernath,1,524,20
Ambernath,1,616,24
Ambernath,1,730,40
Ambernath,2,950,36
Ambernath,1,524,20
Ambernath,1,616,24
Ambernath,1,644,26
Ambernath,1,524,20
Ambernath,1,616,24
Ambernath,1,550,20
Ambernath,1,700,27
Ambernath,1,524,20
Ambernath,1,616,24
Ambernath,1,714,35
Ambernath,2,1030,40
Ambernath,1,720,31
Ambernath,2,951,36
Ambernath,1,524,20
Ambernath,1,616,24
Ambernath,1,620,30
Ambernath,2,846,45
Ambernath,2,951,36
Ambernath,1,575,23
Ambernath,2,832,35
Ambernath,1,560,22
Ambernath,1,634,26
Ambernath,2,830,34
Ambernath,2,940,37
Ambernath,2,910,36
Ambernath,2,900,36
Ambernath,1,725,28
Ambernath,2,940,37
Ambernath,2,1130,44
Ambernath,2,1035,40
Ambernath,1,550,22
Ambernath,1,710,30
Ambernath,1,695,24
Ambernath,2,1030,48
Ambernath,1,695,26
Ambernath,1,794,34
Ambernath,1,644,26
Ambernath,1,627,26
Ambernath,1,685,28
Ambernath,1,691,28
Ambernath,1,874,51
Ambernath,1,690,35
Ambernath,2,1030,60
Ambernath,1,640,23
Ambernath,1,550,20
Ambernath,2,906,40
Ambernath,1,613,26
Ambernath,1,614,23
Ambernath,1,690,35
Ambernath,2,1030,60
Ambernath,1,625,34
Ambernath,1,690,25
Ambernath,1,625,34
Ambernath,2,1110,42
Ambernath,1,685,33
Ambernath,2,950,43
Ambernath,1,710,36
Ambernath,1,560,22
Ambernath,1,550,24
Ambernath,1,644,26
Ambernath,2,950,36
Ambernath,1,946,37
Ambernath,1,720,30
Ambernath,1,610,26
Ambernath,1,660,28
Ambernath,1,675,28
Ambernath,1,700,27
Ambernath,1,712,28
Ambernath,1,575,22
Ambernath,1,730,40
Ambernath,2,900,51
Ambernath,1,690,30
Ambernath,1,575,23
Ambernath,1,560,22
Ambernath,2,990,38
Ambernath,2,1085,48
Ambernath,2,885,36
Ambernath,1,473,26
Ambernath,1,520,22
Ambernath,2,738,32
Ambernath,1,685,34
Ambernath,1,680,34
Ambernath,2,806,41
Ambernath,2,965,43
Ambernath,1,550,22
Ambernath,1,625,24
Ambernath,1,690,24
Ambernath,2,951,37
Ambernath,1,625,24
Ambernath,2,838,34
Ambernath,2,1085,48
Ambernath,2,885,36
Ambernath,1,473,26
Ambernath,1,520,22
Ambernath,2,738,32
Ambernath,1,685,34
Ambernath,1,680,34
Ambernath,2,806,41
Ambernath,2,965,43
Ambernath,1,625,25
Ambernath,1,450,16
Ambernath,1,580,23
Ambernath,1,640,32
Ambernath,1,675,26
Ambernath,2,895,36
Ambernath,2,780,28
Ambernath,2,895,32
Ambernath,2,930,38
Ambernath,2,910,36
Ambernath,2,830,36
Ambernath,2,800,35
Ambernath,2,800,35
Ambernath,1,707,32
Ambernath,2,1100,38
Ambernath,1,700,29
Ambernath,1,338,16
Ambernath,1,640,26
Ambernath,1,680,26
Ambernath,2,810,28
Ambernath,1,560,22
Ambernath,1,655,26
Ambernath,1,610,24
Ambernath,1,634,26
Ambernath,1,560,22
Ambernath,1,625,25
Ambernath,1,640,24
Ambernath,1,755,30
Ambernath,2,1030,56
Ambernath,2,1030,54
Ambernath,1,515,18
